found_location,n,lat,lon,status
3300 Killingsworth Ln. #307 in Pflugerville (TX),11,,,no_result
1006 Banister Ln in Austin (TX),11,30.229575,-97.774426,ok
12508 Esplanade St in Austin (TX),11,30.4153855,-97.6940372,ok
9100 Evelyn Rd in Travis (TX),11,30.0674605,-97.6804285,ok
40 N Ih 35 in Austin (TX),11,,,no_result
2101 Elmont Dr in Austin (TX),11,30.2410985,-97.7259031,ok
1901 E Anderson Ln in Austin (TX),11,30.329088,-97.680831,ok
412 W Alpine in Austin (TX),11,30.2007771,-97.697885,ok
1156 Cesar Chavez St in Austin (TX),11,30.269874,-97.7596284,ok
Braker Ln And Hwy 183 in Austin (TX),11,,,no_result
Live Oak And S Congress in Austin (TX),11,30.2452059,-97.7600675,ok
1515 Wickersham Lane in Austin (TX),11,30.2350044,-97.71831,ok
1812 Miles Ave in Austin (TX),11,30.2054535,-97.8021207,ok
5701 Johnny Morris Road in Austin (TX),11,30.2918179,-97.651597,ok
12621 Hymeadow Rd in Austin (TX),11,,,no_result
619 W Powell Ln in Austin (TX),11,30.349745,-97.707645,ok
7101 Ed Bluestein Blvd in Austin (TX),11,30.312511,-97.661565,ok
7207 Barnsdale Way in Austin (TX),11,30.192337,-97.7929048,ok
5804 Walnut Cove in Austin (TX),11,30.1922091,-97.7305688,ok
11309 Doyle Overton Rd in Austin (TX),11,,,no_result
1602 Citation Dr in Del Valle (TX),11,,,no_result
1000 Creekbend Drive in Pflugerville (TX),11,30.4511405,-97.6220507,ok
14701 Branding Iron Pass in Travis (TX),11,30.3733635,-97.9322298,ok
5006 Emerald Forest in Austin (TX),11,30.2175815,-97.783146,ok
10210 Ember Glen in Austin (TX),11,30.4370517,-97.8247683,ok
6105 Saddler Ln in Austin (TX),11,30.290248,-97.6400604,ok
Catherine Drive And Blue Bluff in Austin (TX),11,,,no_result
11611 Raymond C Ewry Lane in Austin (TX),11,30.151968,-97.840887,ok
5605 Signal Point in Austin (TX),11,30.287989,-97.6474608,ok
South Ec in Austin (TX),10,,,no_result
Crossing Place And Riverside in Austin (TX),10,30.2323322,-97.717032,ok
W Parmer Ln & Mcneil Dr in Austin (TX),10,,,no_result
